plant_id,scientific_name_key,scientific_name,common_name,native_states,plant_type,sunlight,moisture,maintenance,zone_min,zone_max,bloom_start,bloom_end,accepted_usda_code,plant_family,growth_habit,duration,size_notes,bloom_color,bloom_time,water_use,light_requirements,soil_moisture,soil_ph,soil_description,wildlife_use,commercial_availability,propagation_description,supports_full_sun,supports_part_shade,supports_shade,supports_low_water,supports_medium_water,supports_high_water,bloom_jan,bloom_feb,bloom_mar,bloom_apr,bloom_may,bloom_jun,bloom_jul,bloom_aug,bloom_sep,bloom_oct,bloom_nov,bloom_dec,pollinator_group,pollinator_observation_count,supports_bee_observed,supports_butterfly_observed,supports_moth_observed,supports_fly_observed,supports_beetle_observed,supports_wasp_observed,supports_hummingbird_observed,has_ladybird_data,has_pollinator_data,display_name,image_url
PLANT-00001,abies balsamea,Abies balsamea,"Balsam Fir, Blister Pine, Northern Balsam",Connecticut | Iowa | Maine | Massachusetts | Michigan | Minnesota | New Hampshire | New Jersey | New York | Pennsylvania | Vermont | Virginia | West Virginia | Wisconsin,Needled evergreen,Full sun to part shade,Medium,Medium,3,6,Non-flowering,Non-flowering,ABBA,Pinaceae,Tree,Perennial,Up to about 75 feet tall.,"Yellow , Green , Purple , Brown","Sep , Oct , Nov",Medium,"Sun , Part Shade , Shade",Moist,Acidic (pH<6.8),"Well-drained, acid, moist soils.",Songbirds and squirrels eat seed and deer browse foliage. Deer and moose browse the foliage in winter.,yes,"Abies spp. are best propagated by means of seeds sown in early spring. In nature, Abies seeds often germinate on melting snow fields.",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Balsam Fir, Blister Pine, Northern Balsam",https://inaturalist-open-data.s3.amazonaws.com/photos/9906794/medium.jpg
PLANT-00002,abies concolor,Abies concolor,"White Fir, Balsam Fir, Colorado Fir, Concolor Fir, Silver Fir, White Balsam, Oyamel De California",Arizona | California | Colorado | Idaho | Nevada | Oregon | Utah | Wyoming,Needled evergreen,Full sun to part shade,Medium,Medium,3,7,Non-flowering,Non-flowering,ABCO,Pinaceae,Tree,Perennial,"Up to about 130 feet tall, spread up to about 60 feet.",Red,"Apr , May , Jun",Medium,"Sun , Part Shade",,,"Well-drained, gravelly or sandy-loam soils.","The winged seeds of this and other firs are eaten by songbirds and various mammals, especially squirrels and chipmunks. Deer and grouse feed on the foliage; porcupines gnaw the bark.",yes,"Seed is the easiest method of propagation. In nature, Abies seeds often germinate on melting snow fields. Cuttings should be taken from December through March and seem to root best if treated with hormone.",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"White Fir, Balsam Fir, Colorado Fir, Concolor Fir, Silver Fir, White Balsam, Oyamel De California",https://inaturalist-open-data.s3.amazonaws.com/photos/56287604/medium.jpg
PLANT-00003,abies fraseri,Abies fraseri,"Fraser Fir, She-balsam",Georgia | Minnesota | North Carolina | Tennessee | Virginia,Needled evergreen,Full sun to part shade,Medium,Medium,4,7,Non-flowering,Non-flowering,ABFR,Pinaceae,Tree,Perennial,Up to about 75 feet tall.,Purple,Apr,Medium,Shade,,,,,,,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Fraser Fir, She-balsam",https://inaturalist-open-data.s3.amazonaws.com/photos/2043904/medium.jpg
PLANT-00004,abies grandis,Abies grandis,"Grand Fir, Giant Fir",California | Idaho | Montana | Oregon | Washington,Needled evergreen,Full sun to part shade,Medium,Medium,5,6,Non-flowering,Non-flowering,ABGR,Pinaceae,Tree,,Up to more than 200 feet tall.,"White , Green","Apr , May",Medium,"Part Shade , Shade","Dry , Moist",,Well-drained soils.,,yes,"Abies spp. are best propagated by seeds sown in early spring. In nature, Abies seeds often germinate on melting snow fields.",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Grand Fir, Giant Fir",https://inaturalist-open-data.s3.amazonaws.com/photos/56287604/medium.jpg
PLANT-00005,acacia koa,Acacia koa,koa,Hawaii,Tree,Full sun,Medium,Medium,10,11,Seasonal bloomer,Seasonal bloomer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,koa,https://static.inaturalist.org/photos/98778970/medium.jpg
PLANT-00006,acalypha wilkesiana,Acalypha wilkesiana,Jacob's coat,Hawaii,Broadleaf evergreen,Full sun to part shade,Medium,Low,10,11,Seasonal bloomer,Seasonal bloomer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Jacob's coat,https://static.inaturalist.org/photos/346178667/medium.jpg
PLANT-00007,acer macrophyllum,Acer macrophyllum,"Bigleaf Maple, Big-leaf Maple",California | Oregon | Washington,Tree,Full sun to part shade,Medium,Low,6,7,April,May,ACMA3,Aceraceae,Tree,,"Height 30-100 feet, spread 30-50 feet or more, diameter 2 to 4 ft.","Yellow , Green , Brown","Apr , May",Medium,"Sun , Part Shade , Shade","Dry , Moist",,"Cool, moist soils.","Important forage for deer, squirrels and other wildlife.",yes,Use fresh seed.,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Bigleaf Maple, Big-leaf Maple",https://inaturalist-open-data.s3.amazonaws.com/photos/494655644/medium.jpg
PLANT-00008,acer negundo,Acer negundo,"Box Elder, Box Elder Maple, Ash-leaved Maple, Ashleaf Maple, Red River Maple, Fresno De Guajuco",Alabama | Arkansas | Colorado | Connecticut | Delaware | Florida | Georgia | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Nebraska | New Hampshire | New Jersey | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin,Tree,Full sun,Medium to wet,Low,2,10,March,April,ACNE2,Aceraceae,Tree,Perennial,Up to about 50 feet tall.,"Yellow , Green , Brown","Mar , Apr",Medium,Sun,Moist,,Variable.,"Birds, Other Showy Insects",,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Box Elder, Box Elder Maple, Ash-leaved Maple, Ashleaf Maple, Red River Maple, Fresno De Guajuco",https://inaturalist-open-data.s3.amazonaws.com/photos/486113480/medium.jpg
PLANT-00009,acer pensylvanicum,Acer pensylvanicum,"Striped Maple, Moosewood",Connecticut | Georgia | Indiana | Kentucky | Maine | Maryland | Massachusetts | Michigan | Minnesota | New Hampshire | New Jersey | New York | North Carolina | Ohio | Pennsylvania | Rhode Island | South Carolina | Tennessee | Vermont | Virginia | West Virginia | Wisconsin,Tree,Part shade,Medium,Low,3,7,April,May,ACPE,Aceraceae,Tree,Perennial,Up to about 35 feet tall.,"Yellow , Green , Brown","Apr , May",Low,"Part Shade , Shade",Moist,Acidic (pH<6.8),"Cool, well-drained, moist, acidic soils.",,yes,"Propagate by stratified seed or cuttings. Late softwood or semi-hardwood cuttings may root under mist, however percentages are often low.",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Striped Maple, Moosewood",https://inaturalist-open-data.s3.amazonaws.com/photos/8048591/medium.jpg
PLANT-00010,acer rubrum,Acer rubrum,"Red Maple, Scarlet Maple, Soft Maple",Alabama | Arkansas | Connecticut | Delaware | Florida | Georgia | Illinois | Indiana | Iowa | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | New Hampshire | New Jersey | New York | North Carolina | Ohio | Oklahoma | Pennsylvania | Rhode Island | South Carolina | Tennessee | Texas | Vermont | Virginia | West Virginia | Wisconsin,Tree,Full sun to part shade,Medium to wet,Low,3,9,March,April,ACRU,Aceraceae,Tree,Perennial,Up to about 100 feet tall.,"Red , Yellow","Mar , Apr",High,"Sun , Part Shade",Moist,"Acidic (pH<6.8) , Circumneutral (pH 6.8-7.2)","Moist, slightly acidic soils.",Browsed by deer and moose. Also used by squirrels and a variety of birds (Wasowski and Wasowski 1994). Maples are widely used by inchworms (Geometridae) and relied on by the Rosy Maple Moth (,yes,Seeds mature in early summer and will germinate without pretreatment although treatment will hasten and unify germination. Softwood cuttings root readily with hormone.,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Red Maple, Scarlet Maple, Soft Maple",https://inaturalist-open-data.s3.amazonaws.com/photos/371065093/medium.jpg
PLANT-00011,acer saccharinum,Acer saccharinum,"Silver Maple, Soft Maple, White Maple",Alabama | Arkansas | California | Connecticut | Delaware | Florida | Georgia | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Nebraska | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Vermont | Virginia | Washington | West Virginia | Wisconsin,Tree,Full sun to part shade,Medium to wet,Low,3,9,March,March,ACSA2,Aceraceae,Tree,Perennial,Up to about 100 feet tall.,"White , Red , Yellow","Mar , Apr",Medium,"Sun , Part Shade , Shade",Moist,,"Rich, wet to moist, slightly acid soils.",,yes,Seed has no dormancy and germinates immediately after maturing. Treated softwood cuttings root readily.,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Silver Maple, Soft Maple, White Maple",https://inaturalist-open-data.s3.amazonaws.com/photos/135565/medium.jpg
PLANT-00012,acer saccharum,Acer saccharum,"Sugar Maple, Northern Sugar Maple",Alabama | Arkansas | Connecticut | Delaware | Georgia | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | New Hampshire | New Jersey | New York | North Carolina | North Dakota | Ohio | Oklahoma | Pennsylvania | Rhode Island | South Dakota | Tennessee | Vermont | Virginia | West Virginia | Wisconsin,Tree,Full sun to part shade,Medium,Medium,3,8,April,April,ACSA3,Aceraceae,Tree,Perennial,Up to about 100 feet tall.,"Yellow , Green , Brown","Apr , May",Medium,"Sun , Part Shade , Shade","Dry , Moist",,"Rich, moist, well-drained soils.",,yes,Propagation is possible by seed. Not considered easy to root from cuttings.,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Sugar Maple, Northern Sugar Maple",https://inaturalist-open-data.s3.amazonaws.com/photos/230661769/medium.jpeg
PLANT-00013,acer saccharum subsp. grandidentatum,Acer saccharum subsp. grandidentatum,bigtooth maple,Arizona | Colorado | Idaho | Montana | Nevada | New Mexico | Texas | Utah | Washington | Wyoming,Deciduous shrub,Full sun to part shade,Medium,Low,5,8,April,May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,bigtooth maple,
PLANT-00014,acer saccharum subsp. nigrum,Acer saccharum subsp. nigrum,black maple,Alabama | Arkansas | Connecticut | Delaware | Georgia | Illinois | Indiana | Iowa | Kansas | Kentucky | Maryland | Massachusetts | Michigan | Minnesota | Missouri | New Hampshire | New Jersey | New York | North Carolina | Ohio | Pennsylvania | South Dakota | Tennessee | Vermont | Virginia | West Virginia | Wisconsin,Tree,Full sun to part shade,Medium,Medium,4,8,April,April,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,black maple,
PLANT-00015,achillea millefolium,Achillea millefolium,"Common Yarrow, Western Yarrow, Yarrow, Milfoil",Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | Florida | Georgia | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming,Herbaceous perennial,Full sun,Dry to medium,Medium,3,9,June,September,ACMI2,Asteraceae,Herb,,Up to about 3 feet tall.,"White , Pink","Apr , May , Jun , Jul , Aug , Sep",Medium,"Sun , Part Shade",Dry,,,,yes,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Bee | Beetle | Butterfly | Fly | Moth | Other or Unclassified | Wasp,748,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,"Common Yarrow, Western Yarrow, Yarrow, Milfoil",https://inaturalist-open-data.s3.amazonaws.com/photos/4902/medium.jpg
PLANT-00016,acoelorrhaphe wrightii,Acoelorrhaphe wrightii,paurotis palm,Florida,Palm or Cycad,Full sun,Medium to wet,Medium,9,12,Seasonal bloomer,Seasonal bloomer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,paurotis palm,https://inaturalist-open-data.s3.amazonaws.com/photos/119800158/medium.jpeg
PLANT-00017,acorus calamus,Acorus calamus,sweet flag,Alaska | Connecticut | Idaho | Illinois | Indiana | Iowa | Kansas | Maine | Massachusetts | Michigan | Minnesota | Montana | Nebraska | New Hampshire | New Jersey | New York | North Dakota | Ohio | Pennsylvania | Rhode Island | South Dakota | Vermont | Virginia | Washington | Wisconsin,Rush or Sedge,Full sun to part shade,Medium to wet,Low,4,10,Non-flowering,Non-flowering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,sweet flag,https://inaturalist-open-data.s3.amazonaws.com/photos/31058762/medium.jpg
PLANT-00018,actaea pachypoda,Actaea pachypoda,"White Baneberry, Dolls Eyes",Alabama | Arkansas | Connecticut | Delaware | Florida | Georgia | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Nebraska | New Hampshire | New Jersey | New York | North Carolina | Ohio | Oklahoma | Pennsylvania | Rhode Island | South Carolina | Tennessee | Vermont | Virginia | West Virginia | Wisconsin,Herbaceous perennial,Part shade to full shade,Medium,Low,3,8,May,June,ACPA,Ranunculaceae,Herb,Perennial,Up to about 30 inches tall.,White,"Apr , May , Jun",,"Part Shade , Shade","Moist , Wet",Acidic (pH<6.8),"Various well-drained, humus-rich soils.",,yes,"Propagated by root division in early spring or fall, or by seed sown outside, 1/2"" deep, as soon as ripe. Seeds germinate the following year and flower the third.",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"White Baneberry, Dolls Eyes",https://inaturalist-open-data.s3.amazonaws.com/photos/660709/medium.jpg
PLANT-00019,actaea racemosa,Actaea racemosa,Black Baneberry,Alabama | Arkansas | Connecticut | Delaware | Georgia | Illinois | Indiana | Iowa | Kentucky | Maine | Maryland | Massachusetts | Michigan | Mississippi | Missouri | New Jersey | New York | North Carolina | Ohio | Pennsylvania | South Carolina | Tennessee | Virginia | West Virginia,Herbaceous perennial,Part shade to full shade,Medium,Low,3,8,June,July,ACRA7,Ranunculaceae,Herb,Perennial,Up to about 8 feet tall.,"White , Green","Jun , Jul , Aug , Sep",,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Black Baneberry,https://inaturalist-open-data.s3.amazonaws.com/photos/93111/medium.jpg
PLANT-00020,adiantum capillus-veneris,Adiantum capillus-veneris,"Southern Maidenhair Fern, Common Maidenhair Fern, Maidenhair Fern, Venus Hair Fern",Alabama | Arizona | Arkansas | California | Colorado | Florida | Georgia | Hawaii | Kentucky | Louisiana | Maryland | Mississippi | Missouri | Nevada | New Mexico | North Carolina | Ohio | Oklahoma | South Carolina | South Dakota | Tennessee | Texas | Utah | Virginia,Fern,Part shade to full shade,Medium,Low,5,8,Non-flowering,Non-flowering,ADCA,Pteridaceae,Fern,Perennial,Height 6-20 inches.,Not Applicable,,"Medium , High","Part Shade , Shade","Moist , Wet",Alkaline (pH>7.2),"Moist, well-drained sand, loam or limestone. Can occur as an attached mass growing directly on rock outcroppings where moisture is present",,yes,Propagated by,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Southern Maidenhair Fern, Common Maidenhair Fern, Maidenhair Fern, Venus Hair Fern",https://inaturalist-open-data.s3.amazonaws.com/photos/170713050/medium.jpeg
PLANT-00021,adiantum pedatum,Adiantum pedatum,"Northern Maidenhair Fern, Maidenhair Fern",Alabama | Alaska | Arkansas | Connecticut | Delaware | Georgia | Illinois | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Michigan | Minnesota | Mississippi | Missouri | Nebraska | New Hampshire | New Jersey | New York | North Carolina | Ohio | Oklahoma | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Vermont | Virginia | West Virginia | Wisconsin,Fern,Part shade to full shade,Medium,Low,3,8,Non-flowering,Non-flowering,ADPE,Pteridaceae,Fern,Perennial,Fronds up to about 30 inches long.,Not Applicable,"Jun , Jul , Aug , Sep , Oct , Nov",Medium,"Part Shade , Shade",Moist,Circumneutral (pH 6.8-7.2),"Rich, moist, well-drained soils, mostly acidic but can tolerate some lime.",Provides shelter for toads and lizards.,yes,Easily propagated by,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Northern Maidenhair Fern, Maidenhair Fern",https://static.inaturalist.org/photos/130175468/medium.jpeg
PLANT-00022,aesculus californica,Aesculus californica,California Buckeye,California,Tree,Full sun to part shade,Medium,Medium,7,8,February,March,AECA,Hippocastanaceae,Shrub,Perennial,"Height 15-40 feet, spread 30-60 feet.","White , Pink","Apr , May , Jun",Medium,"Sun , Part Shade",Dry,,"Poor, dry soils.","Chipmunks and squirrels consume the seeds, but bees are poisoned by the",yes,Fall-sown seeds germinate easily without pretreatment.,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,California Buckeye,https://inaturalist-open-data.s3.amazonaws.com/photos/72460428/medium.jpg
PLANT-00023,aesculus flava,Aesculus flava,"Yellow Buckeye, Sweet Buckeye",Alabama | Georgia | Illinois | Indiana | Kentucky | Maryland | Mississippi | New Jersey | North Carolina | Ohio | Pennsylvania | South Carolina | Tennessee | Virginia | West Virginia,Tree,Full sun to part shade,Medium,Medium,4,8,April,May,AEFL,Hippocastanaceae,Tree,Perennial,Up to about 75 feet tall.,White,"Apr , May , Jun",High,Shade,Moist,Circumneutral (pH 6.8-7.2),"Rich, moist, well-drained soils.",Squirrels eat the nuts.,yes,"Either stratify the seed or plant fresh seed in the fall, 2 in. deep, allowing it to naturally stratify during the winter.",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Yellow Buckeye, Sweet Buckeye",https://inaturalist-open-data.s3.amazonaws.com/photos/193277568/medium.jpg
PLANT-00024,aesculus glabra,Aesculus glabra,"Ohio Buckeye, Texas Buckeye, Fetid Buckeye, Horse Chestnut",Alabama | Arkansas | Georgia | Illinois | Indiana | Iowa | Kansas | Kentucky | Maine | Maryland | Michigan | Minnesota | Mississippi | Missouri | New Hampshire | New Jersey | New York | North Carolina | Ohio | Oklahoma | Pennsylvania | South Carolina | Tennessee | Texas | West Virginia | Wisconsin,Tree,Full sun to part shade,Medium,Medium,3,7,April,May,AEGL,Hippocastanaceae,Tree,Perennial,"Up to about 75 feet tall, often shorter.","Yellow , Green , Brown","Mar , Apr , May",Medium,"Sun , Part Shade , Shade",Moist,Acidic (pH<6.8),"Rich, moist, well-drained soils.",Squirrels eat seeds. Hummingbirds are attracted to the flowers.,yes,Sow seeds in fall.,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Ohio Buckeye, Texas Buckeye, Fetid Buckeye, Horse Chestnut",https://static.inaturalist.org/photos/37462323/medium.jpeg
PLANT-00025,aesculus parviflora,Aesculus parviflora,Bottlebrush Buckeye,Alabama | Georgia | New Jersey | Pennsylvania | South Carolina,Deciduous shrub,Part shade to full shade,Medium,Low,4,8,June,July,AEPA2,Hippocastanaceae,Shrub,Perennial,,White,"Jun , Jul",,Part Shade,,,"Moist, well-drained, shallow soils over limestone or loamy sands.",Flowers attract hummingbirds and butterflies.,yes,Seeds should be planted as soon as possible after they are collected and never allowed to dry out. Softwood cuttings under mist root in fair percentages. The commercial method of propagating bottlebrush buckeye is root cuttings.,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Bottlebrush Buckeye,https://inaturalist-open-data.s3.amazonaws.com/photos/19700508/medium.jpg
PLANT-00026,aesculus parviflora var. serotina,Aesculus parviflora var. serotina,bottlebrush buckeye,Alabama | Arkansas | Delaware | Florida | Georgia | Kentucky | Louisiana | Maryland | Mississippi | North Carolina | South Carolina | Tennessee | Virginia,Deciduous shrub,Part shade to full shade,Medium,Low,4,8,July,July,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,bottlebrush buckeye,
PLANT-00027,aesculus pavia,Aesculus pavia,"Red Buckeye, Scarlet Buckeye , Firecracker Plant",Alabama | Arkansas | Florida | Georgia | Illinois | Kentucky | Louisiana | Mississippi | Missouri | North Carolina | Oklahoma | South Carolina | Tennessee | Texas | Virginia | West Virginia,Deciduous shrub,Full sun to part shade,Medium,Medium,4,8,April,May,AEPA,Hippocastanaceae,Shrub,Perennial,"10-40 feet, Texas specimens usually on the short end of that range, with those in central Texas commonly no more than 15 feet.","Red , Yellow","Mar , Apr , May","Medium , High",Part Shade,Moist,"Acidic (pH<6.8) , Circumneutral (pH 6.8-7.2)","Deep, well-drained sand, loam, clay, limestone. Variety",Flowers attract hummingbirds and bees. Nuts consumed by squirrels.,yes,"Sow untreated seeds promptly in loose, rich, well-drained soil.",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Red Buckeye, Scarlet Buckeye , Firecracker Plant",https://inaturalist-open-data.s3.amazonaws.com/photos/34729028/medium.jpeg
PLANT-00028,aesculus sylvatica,Aesculus sylvatica,Painted Buckeye,Alabama | Florida | Georgia | Kentucky | North Carolina | South Carolina | Tennessee | Virginia,Deciduous shrub,Part shade,Medium,Medium,7,8,April,May,AESY,Hippocastanaceae,Shrub,Perennial,"Usually shrub-like, up to about 15 feet tall. Sometimes grows as a","Yellow , Green","Apr , May",,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Painted Buckeye,https://inaturalist-open-data.s3.amazonaws.com/photos/7448565/medium.jpg
